0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,ClinicalRecord
(-0.21520105004310608-0.4554916024208069j),(0.23150454461574554+0.0709652453660965j),(0.07043962180614471-0.20078495144844055j),(0.45732468366622925-0.2703714668750763j),(-0.24750180542469025+0.2819494605064392j),(0.4251078963279724-0.22273415327072144j),(-0.010002026334404945-0.3297712802886963j),(-0.12093600630760193-0.36410877108573914j),(-0.34740403294563293-0.17726607620716095j),(0.11760760098695755+0.2673322856426239j),(-0.006612460594624281-0.18952766060829163j),(-0.3065979778766632-0.19735410809516907j),(-0.2621625065803528-0.26577454805374146j),(0.14517956972122192-0.5956105589866638j),(0.36511141061782837+0.30837246775627136j),(0.07505693286657333-0.3082038164138794j),(0.12900131940841675-0.28268876671791077j),(-0.33369210362434387+0.2280513048171997j),(-0.22059835493564606+0.22682303190231323j),(-0.2256275862455368-0.39491569995880127j),(0.31988847255706787+0.10216665267944336j),(0.14511923491954803-0.01302619744092226j),(0.0571599006652832+0.19258368015289307j),(0.1699068546295166-0.4158391058444977j),(-0.15059839189052582+0.14269930124282837j),(0.18135212361812592+0.49916574358940125j),(-0.27645543217658997+0.10903508961200714j),(-0.23995980620384216-0.23820313811302185j),(0.3147948384284973-0.3101073205471039j),(0.21090303361415863-0.1362728625535965j),(0.19500282406806946+0.19887712597846985j),(-0.02767493948340416-0.17376336455345154j),(0.32127460837364197-0.018733546137809753j),(0.15019626915454865-0.09872183203697205j),(-0.2093118280172348-0.20333963632583618j),(0.39463740587234497+0.13718725740909576j),(0.12190818786621094-0.4239373505115509j),(0.2935529053211212-0.21697627007961273j),(0.3764277994632721+0.42861926555633545j),(0.47018447518348694+0.13646459579467773j),(-0.3754315674304962-0.06112806499004364j),(-0.14450177550315857-0.15107962489128113j),(-0.14908400177955627-0.06985433399677277j),(0.2353835552930832+0.362067848443985j),(0.45033395290374756-0.029657743871212006j),(0.29033324122428894+0.08491067588329315j),(-0.3315238058567047+0.24841906130313873j),(0.20516148209571838-0.3438955545425415j),(0.05850047990679741-0.2690909206867218j),(0.09758269041776657-0.03526371344923973j),1003706_Patient
(-0.26416561007499695-0.4561586081981659j),(-0.2217891663312912-0.10693923383951187j),(0.174481600522995-0.29208266735076904j),(0.3033101558685303+0.021843820810317993j),(-0.1763506978750229+0.3075627088546753j),(0.3571135103702545-0.3664770722389221j),(-0.188263401389122-0.11711043864488602j),(-0.11737509816884995-0.28428828716278076j),(-0.406903475522995-0.20313724875450134j),(0.260443776845932+0.1515483558177948j),(-0.11348935216665268-0.18700703978538513j),(-0.06441749632358551-0.3747621476650238j),(0.028976071625947952-0.2574544847011566j),(0.18843019008636475-0.3948521912097931j),(0.24806387722492218+0.22963257133960724j),(-0.22599080204963684-0.3629039227962494j),(0.3788483440876007+0.13831588625907898j),(-0.46030351519584656-0.06898489594459534j),(0.12334054708480835+0.14401400089263916j),(-0.05676194280385971-0.4013234078884125j),(0.24346749484539032+0.26694485545158386j),(0.08395393192768097+0.1591065526008606j),(-0.28547173738479614-0.14335422217845917j),(-0.31088730692863464-0.4464574158191681j),(-0.026241132989525795+0.004186959005892277j),(0.3011210560798645+0.018994523212313652j),(-0.12348894774913788+0.22731631994247437j),(-0.07251300662755966-0.3184073269367218j),(0.3491442799568176-0.2780739367008209j),(0.38463136553764343-0.0813978835940361j),(0.07642274349927902+0.3156055808067322j),(0.002951251342892647-0.1382160186767578j),(-0.13558721542358398+0.048642635345458984j),(-0.007509807124733925-0.13097980618476868j),(-0.44066134095191956-0.3421103358268738j),(0.4385983645915985+0.3091247081756592j),(0.3040549159049988-0.04613161459565163j),(0.09855432063341141+0.21685157716274261j),(0.35690590739250183+0.01252394262701273j),(-0.07102497667074203+0.18009813129901886j),(-0.19932453334331512-0.23294605314731598j),(-0.20880469679832458+0.3337421715259552j),(-0.36018824577331543+0.09912237524986267j),(0.1284031867980957+0.26634594798088074j),(0.3626980185508728-0.03448713570833206j),(0.24676503241062164-0.028427675366401672j),(0.2842846214771271+0.055684711784124374j),(-0.19199895858764648-0.35167762637138367j),(0.1797483265399933-0.016866784542798996j),(-0.23207804560661316+0.11562536656856537j),1005679_Patient
(0.3806516230106354+0.014207248575985432j),(0.21761766076087952+0.01580471731722355j),(-0.20414510369300842+0.25446632504463196j),(-0.20787233114242554-0.3505609929561615j),(0.014640063978731632+0.2622240483760834j),(0.13801996409893036+0.48161187767982483j),(-0.07097578048706055-0.11746346950531006j),(0.2715895175933838-0.30586764216423035j),(-0.14535416662693024-0.5646481513977051j),(-0.23522259294986725+0.18162670731544495j),(-0.47093743085861206-0.5465970039367676j),(-0.440784752368927+0.3553171753883362j),(0.37354087829589844+0.14036977291107178j),(0.20183317363262177-0.19910907745361328j),(0.05580676719546318-0.5142481923103333j),(0.3991241455078125+0.2574736773967743j),(-0.3683786690235138-0.23755724728107452j),(0.18274518847465515+0.43849268555641174j),(0.21900147199630737-0.4459114074707031j),(0.1631665676832199-0.2551303505897522j),(0.03250357136130333+0.3335135281085968j),(-0.40292829275131226-0.18577741086483002j),(0.26081517338752747+0.1858338713645935j),(-0.4330587089061737+0.28069886565208435j),(-0.017191464081406593+0.30012989044189453j),(-0.06877251714468002+0.22957667708396912j),(-0.08123763650655746+0.33396267890930176j),(0.21346330642700195+0.33659422397613525j),(0.1043219193816185-0.5125742554664612j),(0.36032962799072266-0.4334697127342224j),(-0.4129629135131836+0.35861653089523315j),(0.23953941464424133+0.002154327230527997j),(0.319648414850235+0.20853877067565918j),(0.13905934989452362+0.36789682507514954j),(-0.39041760563850403-0.2277318388223648j),(-0.2992051839828491-0.15477745234966278j),(0.10661295801401138-0.20488674938678741j),(-0.076973557472229-0.20386101305484772j),(0.004772203508764505+0.19199125468730927j),(0.17949184775352478-0.16239921748638153j),(0.04621069133281708-0.0010840382892638445j),(-0.29272547364234924+0.23713235557079315j),(0.4553662836551666+0.12168652564287186j),(-0.02670050598680973-0.29902029037475586j),(-0.37207531929016113+0.10964132845401764j),(-0.15460138022899628+0.1107989102602005j),(0.1036694198846817-0.4187203347682953j),(-0.27685314416885376+0.12452367693185806j),(-0.028613701462745667-0.3519798517227173j),(0.43392297625541687+0.22236599028110504j),1007602_Patient
(0.1785716712474823+0.07615725696086884j),(-0.2632709741592407+0.25485125184059143j),(-0.33955127000808716-0.22978852689266205j),(0.0687098428606987-0.3090742826461792j),(-0.3519396185874939+0.28308552503585815j),(0.03275412693619728-0.4607912003993988j),(-0.3419189155101776+0.13895392417907715j),(0.14385518431663513+0.37622886896133423j),(-0.14754660427570343-0.3629463315010071j),(-0.08226700127124786+0.15397799015045166j),(0.07249971479177475-0.4153735041618347j),(-0.3366127610206604-0.4576379954814911j),(0.006629195995628834-0.1642436534166336j),(-0.28977280855178833-0.3640327453613281j),(-0.4200141429901123-0.4091763198375702j),(0.1342855542898178+0.3063570261001587j),(0.29198500514030457-0.028659885749220848j),(0.17977741360664368+0.13719697296619415j),(0.17271403968334198-0.08888068050146103j),(0.6109350919723511-0.5207366347312927j),(0.1395837515592575+0.33834308385849j),(0.2607426643371582+0.5291271209716797j),(-0.008288668468594551+0.2722603380680084j),(-0.5032336115837097-0.0573008693754673j),(-0.12679791450500488-0.386339008808136j),(-0.1998661309480667-0.1497207134962082j),(0.36235061287879944-0.240402951836586j),(-0.18009698390960693-0.20324203372001648j),(-0.3207283616065979+0.4027530550956726j),(-0.3803233206272125+0.20561306178569794j),(-0.45489823818206787+0.11048232018947601j),(0.5229427814483643-0.18032757937908173j),(0.3918326497077942+0.17812153697013855j),(-0.10506485402584076-0.05220857635140419j),(-0.16103141009807587+0.2660169303417206j),(-0.05790427327156067-0.2466142624616623j),(0.40435895323753357+0.4712820053100586j),(0.31763002276420593+0.04206424206495285j),(0.021914366632699966+0.21590782701969147j),(0.41355425119400024+0.07048702239990234j),(0.1239771917462349-0.5766186118125916j),(-0.13001111149787903+0.3588354289531708j),(0.34260380268096924-0.48543211817741394j),(0.402319997549057+0.3766946494579315j),(0.5900278687477112+0.44413161277770996j),(0.5701821446418762-0.11703358590602875j),(-0.1663210242986679+0.19267284870147705j),(-0.40532106161117554-0.19592899084091187j),(0.011334596201777458+0.25114062428474426j),(0.23969300091266632-0.21567410230636597j),1013426_Patient
(-0.06168631836771965-0.3990161716938019j),(-0.35596269369125366-0.17248432338237762j),(-0.22955812513828278-0.1571662873029709j),(-0.2540295422077179-0.16057367622852325j),(-0.03986629098653793+0.2942742109298706j),(0.5044100880622864-0.20833630859851837j),(-0.018886666744947433-0.3217461407184601j),(-0.14024238288402557-0.5047102570533752j),(-0.025330476462841034-0.3070499002933502j),(0.5145217180252075-0.2282673567533493j),(-0.19348274171352386+0.40059614181518555j),(-0.1814410239458084+0.029027920216321945j),(-0.21649742126464844+0.39015957713127136j),(0.1420099288225174+0.12149678170681j),(-0.03560924157500267-0.014347904361784458j),(-0.33593782782554626-0.051275819540023804j),(0.3283199667930603-0.1430911272764206j),(0.20546743273735046-0.2792351543903351j),(0.06851980835199356-0.19644604623317719j),(0.19734050333499908+0.11198607832193375j),(-0.2602018415927887+0.26500627398490906j),(-0.2808799147605896+0.292684406042099j),(-0.16878823935985565-0.21324890851974487j),(-0.4294789731502533+0.18943020701408386j),(0.18510867655277252-0.4710618853569031j),(-0.23152679204940796+0.31301236152648926j),(-0.4268929958343506+0.31798413395881653j),(0.3381042778491974-0.15598876774311066j),(-0.3084428012371063+0.10809623450040817j),(0.2631615698337555+0.19676180183887482j),(-0.2228013128042221-0.26406925916671753j),(0.11120099574327469+0.14128506183624268j),(-0.1742790788412094-0.050934888422489166j),(0.13458526134490967-0.16423249244689941j),(-0.4816134572029114-0.15258969366550446j),(0.45377305150032043-0.19248226284980774j),(-0.09669681638479233-0.22105281054973602j),(0.3798495829105377+0.35684269666671753j),(0.30488091707229614-0.1758013814687729j),(0.4772750437259674-0.336154043674469j),(-0.1591092348098755+0.27271372079849243j),(0.021794186905026436-0.16983744502067566j),(-0.3977476954460144-0.15111933648586273j),(0.1371193826198578-0.28785839676856995j),(-0.24150505661964417+0.08803859353065491j),(0.26825830340385437+0.11562032252550125j),(-0.00011902320693479851-0.23153990507125854j),(-0.2589004635810852-0.19077934324741364j),(0.13022761046886444-0.3559705913066864j),(0.4563658833503723+0.4515700340270996j),1013702_Patient
(-0.24421611428260803-0.49715718626976013j),(-0.24371182918548584+0.13045243918895721j),(0.13452599942684174+0.035332463681697845j),(0.5052211880683899-0.3757944703102112j),(-0.40211260318756104+0.10503461956977844j),(0.36254528164863586-0.2914372980594635j),(0.12329874187707901-0.3254849910736084j),(0.18637876212596893-0.267174631357193j),(-0.3232307434082031-0.4118293523788452j),(-0.2523925006389618+0.20327357947826385j),(-0.05717385187745094-0.009101214818656445j),(-0.0623231902718544-0.028596706688404083j),(-0.4017963707447052-0.336825966835022j),(0.11988172680139542-0.3757454752922058j),(0.028326302766799927-0.024565553292632103j),(-0.35912224650382996-0.0025049657560884953j),(0.3918684124946594+0.08686818182468414j),(-0.5508338809013367+0.0014865131815895438j),(-0.06710156798362732+0.3470565676689148j),(-0.11782677471637726-0.43593868613243103j),(0.3618321418762207+0.3818875253200531j),(0.13511227071285248-0.02218623459339142j),(0.2861454486846924+0.4659014642238617j),(0.13371743261814117-0.36981260776519775j),(-0.30740976333618164+0.27425384521484375j),(0.1465485543012619+0.596552312374115j),(0.10113982111215591-0.008804838173091412j),(-0.28775593638420105-0.45505473017692566j),(0.0376422256231308-0.5036800503730774j),(0.24945880472660065-0.06204550340771675j),(0.14214590191841125+0.14204303920269012j),(0.27647948265075684+0.07034812867641449j),(0.15617148578166962+0.03325540944933891j),(0.010373655706644058+0.010660316795110703j),(-0.2976681888103485-0.10786720365285873j),(0.22172728180885315-0.09238741546869278j),(0.3389916718006134-0.3400883078575134j),(0.22426541149616241-0.22639110684394836j),(0.2330329716205597-0.10005027055740356j),(0.4157513380050659+0.22672761976718903j),(-0.08235666900873184+0.015233359299600124j),(0.15386991202831268-0.10227784514427185j),(-0.26678818464279175+0.17159874737262726j),(0.2426362931728363+0.020971311256289482j),(-0.017453577369451523+0.28054818511009216j),(0.3047148287296295+0.1418808102607727j),(-0.23349544405937195+0.10039012134075165j),(-0.04018615558743477-0.13510699570178986j),(0.23863515257835388+0.16041389107704163j),(-0.14975957572460175+0.3156626522541046j),1015121_Patient
(0.40222427248954773-0.43872275948524475j),(0.14822158217430115-0.06549592316150665j),(0.21934843063354492-0.21157047152519226j),(0.5448805689811707+0.12339802086353302j),(-0.27765214443206787-0.013142772018909454j),(-0.09715978056192398-0.4329816699028015j),(0.10790511965751648-0.346926748752594j),(-0.22856967151165009-0.4521297216415405j),(-0.15096214413642883-0.4235934615135193j),(0.1310756653547287-0.19658423960208893j),(-0.48192691802978516-0.04696544259786606j),(0.25531452894210815+0.08729402720928192j),(-0.04310508072376251-0.056107763200998306j),(0.3660716116428375-0.43528318405151367j),(0.24457895755767822+0.3736574649810791j),(-0.20298562943935394-0.04740932211279869j),(0.17727243900299072+0.31166601181030273j),(-0.2128363996744156+0.3399786651134491j),(-0.17554014921188354+0.2709504961967468j),(0.24594734609127045+0.23525910079479218j),(-0.028666168451309204+0.28717923164367676j),(0.18908695876598358+0.5226868987083435j),(-0.1802477091550827-0.05164926499128342j),(0.08428113162517548+0.0205069649964571j),(-0.2485319972038269-0.3305385112762451j),(0.22618302702903748+0.6251378059387207j),(0.05672711879014969-0.1736026257276535j),(0.13591821491718292+0.24391226470470428j),(0.1906224489212036+0.20786871016025543j),(0.3832937479019165+0.05478939414024353j),(-0.1737402230501175+0.2963998019695282j),(0.07988276332616806+0.04848023131489754j),(0.4148623049259186-0.10111115872859955j),(-0.31329214572906494-0.2462708055973053j),(-0.49304142594337463+0.24880574643611908j),(0.051511917263269424-0.36679935455322266j),(0.22966574132442474-0.03595823049545288j),(0.32116395235061646-0.11865947395563126j),(-0.25887805223464966+0.07851622998714447j),(0.395069420337677+0.124374620616436j),(0.2704274654388428-0.006245179567486048j),(-0.10865902155637741+0.27745842933654785j),(0.03182685375213623-0.2757175862789154j),(0.09462898224592209+0.19439974427223206j),(0.42717602849006653+0.35766249895095825j),(0.41270357370376587-0.3604139983654022j),(0.24771127104759216-0.10356269031763077j),(-0.29484230279922485-0.19586357474327087j),(0.2754852771759033-0.506635844707489j),(0.3760269582271576+0.006244353484362364j),1019115_Patient
(0.30629265308380127+0.24228370189666748j),(-0.19035229086875916-0.30459970235824585j),(0.22572074830532074+0.3467409014701843j),(-0.3691311180591583-0.30556750297546387j),(-0.015268493443727493-0.289843887090683j),(0.00864131934940815-0.03904834762215614j),(0.18634368479251862+0.3406023383140564j),(0.01076043676584959-0.4769068956375122j),(0.33540111780166626+0.2705517113208771j),(0.3086770176887512-0.29891854524612427j),(0.14872725307941437+0.32621678709983826j),(0.31857022643089294-0.09006043523550034j),(0.4253915846347809+0.23693378269672394j),(-0.3981049358844757+0.2756430208683014j),(-0.20217573642730713-0.1832655370235443j),(-0.2015077769756317+0.40873321890830994j),(-0.264880508184433-0.32215672731399536j),(0.21800284087657928-0.07406425476074219j),(0.22135627269744873+0.15126843750476837j),(0.512802004814148+0.08017639815807343j),(-0.37478402256965637-0.46401846408843994j),(-0.3540171682834625+0.09242229908704758j),(0.15342360734939575-0.1750931292772293j),(-0.32152894139289856-0.284597784280777j),(0.5472761988639832-0.4689163267612457j),(-0.12726113200187683-0.31389057636260986j),(-0.05274425074458122-0.19860677421092987j),(0.49689313769340515-0.29780447483062744j),(0.07987884432077408+0.5295679569244385j),(0.20420056581497192-0.2736812233924866j),(0.07611784338951111-0.427161306142807j),(0.318406343460083-0.40227848291397095j),(0.23432938754558563+0.1481591761112213j),(0.056256458163261414-0.28372424840927124j),(0.13514083623886108-0.26355984807014465j),(0.5005580186843872+0.08295638114213943j),(0.05521627143025398-0.32039541006088257j),(-0.44310685992240906-0.30360859632492065j),(-0.15918904542922974+0.13633345067501068j),(-0.2694260776042938-0.5506349802017212j),(0.05461731553077698-0.2379382997751236j),(0.1528453379869461+0.14196179807186127j),(-0.19858944416046143-0.08482503145933151j),(0.2419521063566208-0.3125002980232239j),(-0.3113771080970764-0.10033544152975082j),(-0.22816792130470276+0.12089832872152328j),(0.2970566749572754+0.16654334962368011j),(-0.020129038020968437+0.2579072415828705j),(0.07237736135721207+0.4645540416240692j),(0.3913235366344452-0.26968294382095337j),1019206_Patient
(0.059229347854852676+0.21705131232738495j),(-0.11349117010831833+0.3846583664417267j),(-0.042551491409540176+0.23835361003875732j),(-0.1891387701034546-0.2894172966480255j),(-0.23233583569526672+0.14601418375968933j),(-0.44077998399734497+0.011299600824713707j),(0.33548370003700256-0.05215824395418167j),(0.4769943356513977-0.03971843421459198j),(0.07280058413743973-0.011580106802284718j),(0.5000815391540527-0.09526834636926651j),(0.21426822245121002+0.08144727349281311j),(-0.39773690700531006+0.2717837989330292j),(-0.08801098167896271+0.31885668635368347j),(-0.20708046853542328-0.4291173219680786j),(0.03157138451933861-0.035414207726716995j),(0.107591912150383-0.0703824982047081j),(0.31353098154067993-0.2783156931400299j),(-0.6035522222518921-0.38357049226760864j),(-0.34167981147766113+0.36575135588645935j),(-0.3543698191642761-0.6141815185546875j),(0.12043789774179459-0.44258439540863037j),(-0.3174620270729065-0.08321354538202286j),(-0.21019834280014038+0.3484794795513153j),(-0.44633907079696655-0.4300171732902527j),(0.21685746312141418+0.2555873692035675j),(0.04465870186686516-0.06231088191270828j),(0.056555185467004776+0.5288688540458679j),(-0.3696384131908417+0.06611563265323639j),(-0.37242868542671204-0.12472642213106155j),(-0.0014037739019840956+0.05010918900370598j),(0.22735010087490082+0.1645100861787796j),(0.17174845933914185-0.2901708483695984j),(0.12584812939167023-0.16524265706539154j),(0.08691763877868652-0.4144727885723114j),(-0.36300650238990784-0.4654880166053772j),(0.2873245179653168+0.07087928056716919j),(-0.3858966827392578-0.04890846088528633j),(0.1373952031135559-0.2075202763080597j),(0.36432769894599915+0.047384653240442276j),(0.31250807642936707+0.03070712834596634j),(0.15362006425857544-0.254077672958374j),(0.01351990271359682+0.25563254952430725j),(0.14021554589271545+0.30998310446739197j),(0.25821584463119507+0.025754395872354507j),(-0.021322010084986687-0.27636709809303284j),(-0.22943393886089325+0.17379996180534363j),(0.247964009642601+0.34835097193717957j),(-0.39267095923423767-0.411734938621521j),(-0.24914273619651794-0.011573426425457j),(-0.5547803640365601-0.3736642599105835j),101957_Patient
(-0.23860108852386475-0.1731930673122406j),(-0.24607615172863007+0.1648048758506775j),(-0.18939051032066345+0.09261582791805267j),(0.15476101636886597+0.0995580404996872j),(-0.2649376392364502+0.24492111802101135j),(-0.1441241204738617+0.245826855301857j),(0.14327292144298553+0.30863654613494873j),(0.17315736413002014-0.38314154744148254j),(-0.2840249836444855-0.025378083810210228j),(0.34903401136398315-0.035861872136592865j),(-0.05686796084046364+0.28861063718795776j),(-0.07000412791967392+0.05242514982819557j),(-0.023103749379515648-0.165623739361763j),(-0.1135072112083435-0.5431241393089294j),(0.33574214577674866-0.08084866404533386j),(-0.31214025616645813+0.09267359226942062j),(0.30621621012687683-0.16139765083789825j),(-0.6539223790168762+0.08849123865365982j),(-0.2844829857349396+0.19918006658554077j),(-0.39741864800453186-0.5282430648803711j),(0.1976686418056488-0.1384994238615036j),(-0.285152405500412-0.3868415653705597j),(-0.11166469007730484+0.005256878212094307j),(-0.3567165732383728-0.17131714522838593j),(0.3626692295074463+0.13430370390415192j),(0.35002344846725464+0.4831710457801819j),(-0.0025895130820572376-0.03569300100207329j),(0.3177833557128906-0.2765352725982666j),(0.09545737504959106-0.1959371566772461j),(0.02897362969815731+0.1579485684633255j),(0.34684064984321594+0.010806641541421413j),(-0.09190507978200912-0.017963556572794914j),(-0.06696126610040665+0.22678937017917633j),(0.024628961458802223-0.18014951050281525j),(-0.3609110713005066-0.18623574078083038j),(0.5105283856391907+0.29743537306785583j),(-0.041880086064338684+0.050437599420547485j),(0.12344788759946823+0.022737594321370125j),(0.07872302830219269+0.10290339589118958j),(0.4388630986213684-0.12153919786214828j),(0.4315797984600067+0.1129804402589798j),(-0.1982133686542511+0.005401640199124813j),(-0.38901984691619873+0.35121259093284607j),(0.12579700350761414+0.19962579011917114j),(0.03540220484137535+0.10813785344362259j),(-0.14392712712287903+0.42333540320396423j),(0.11377637088298798+0.28234851360321045j),(0.018757186830043793+0.2205846756696701j),(-0.0863124430179596-0.19272883236408234j),(0.026500651612877846-0.030623886734247208j),1022636_Patient
